,latitude,longitude,free_bikes
0,43.685924,-79.376304,0
1,43.6677628,-79.30811709999999,12
2,43.691468,-79.288619,2
3,43.640722,-79.391051,2
4,43.643834,-79.396649,13
5,43.76073963892478,-79.5000273116394,1
6,43.6568254,-79.3966159,9
7,43.7741,-79.5005,0
8,43.656094,-79.381484,18
9,43.658777,-79.369596,9
10,43.661559,-79.413845,1
11,43.663376,-79.392125,13
12,43.651145,-79.423742,34
13,43.647259,-79.379878,34
14,43.6397,-79.44865,4
15,43.666233,-79.373327,16
16,43.672152,-79.39018,5
17,43.690237,-79.350119,5
18,43.671349,-79.29451,11
19,43.645469,-79.411084,10
20,43.661673,-79.337789,14
21,43.642697996199985,-79.4049993694586,2
22,43.671526,-79.44874,1
23,43.673118,-79.318651,13
24,43.72690169821676,-79.22920396582664,8
25,43.7805505,-79.1301203,23
26,43.6625395,-79.5030161,14
27,43.641529,-79.386741,3
28,43.78387252467251,-79.40786809814757,3
29,43.70751755961952,-79.30252066313936,4
30,43.6452972,-79.3827914,17
31,43.652777,-79.372637,7
32,43.690564,-79.326319,0
33,43.661152,-79.358505,6
34,43.670042134416704,-79.4789424818056,1
35,43.67,-79.42083333333333,0
36,43.633473,-79.425679,8
37,43.6704403,-79.45328549999999,0
38,43.64281323408372,-79.40751415588915,4
39,43.66701830465472,-79.4027958687172,7
40,43.6333523484014,-79.41436313073005,11
41,43.74531103700256,-79.20970650787817,7
42,43.65995363518053,-79.41787388888551,1
43,43.68871,-79.39264,1
44,43.6651094724602,-79.46833581423087,19
45,43.6856,-79.3718,1
46,43.6314,-79.4304,8
47,43.6975969,-79.39654,5
48,43.63732,-79.489083,9
49,43.6491919790139,-79.38363237427446,3
50,43.630254,-79.420317,4
51,43.6486599,-79.4376413,1
52,43.6484201,-79.40051919999999,21
53,43.6704537,-79.39014,8
54,43.707555968595464,-79.34272024477463,9
55,43.776857235099826,-79.4151161430729,4
56,43.653264,-79.382458,23
57,43.650154,-79.464934,3
58,43.63670985212708,-79.40880517790985,31
59,43.74033901575211,-79.23935319629516,13
60,43.636533,-79.395854,13
61,43.70942,-79.39139,1
62,43.641389,-79.404444,1
63,43.62649329992186,-79.50358167641535,6
64,43.74751496038769,-79.5132569853195,2
65,43.651318,-79.36023,13
66,43.755583971122874,-79.47446032684479,0
67,43.65246,-79.413528,0
68,43.6438036,-79.4770327,0
69,43.630874,-79.482407,15
70,43.7774374,-79.4447096,1
71,43.68233679999999,-79.4680594,2
72,43.658938,-79.383518,20
73,43.664524,-79.36793,3
74,43.69711160305226,-79.40537298227844,0
75,43.67883,-79.408723,0
76,43.639547,-79.420022,15
77,43.650077,-79.391291,18
78,43.677778,-79.405556,2
79,43.69254716689966,-79.46332759272917,0
80,43.6658804,-79.38761010000002,11
81,43.652686,-79.358395,5
82,43.668991,-79.379385,4
83,43.7503016975738,-79.51577557434386,1
84,43.660439,-79.385525,8
85,43.650745,-79.383633,10
86,43.650492,-79.450842,1
87,43.669244,-79.3894,8
88,43.649147,-79.395504,9
89,43.674991,-79.396273,1
90,43.63735795888104,-79.43617975886079,1
91,43.665221,-79.394009,13
92,43.656729,-79.382736,16
93,43.64883712159794,-79.48675294250663,23
94,43.668456,-79.393899,8
95,43.654501,-79.460053,1
96,43.6412561641921,-79.41502994047545,5
97,43.6554793,-79.4302462,1
98,43.718039,-79.371914,8
99,43.641705,-79.393295,10
100,43.65182,-79.47421,3
101,43.6146692,-79.4873148,17
102,43.69074600637147,-79.47820143344333,27
103,43.6492,-79.50601999999999,1
104,43.7063279,-79.3962499,17
105,43.788525214554085,-79.1231844760227,18
106,43.772445,-79.511912,1
107,43.65038002325664,-79.3787277120385,15
108,43.638925,-79.4168659,7
109,43.651885,-79.3649,17
110,43.612063,-79.496573,4
111,43.645572,-79.39399,18
112,43.685569,-79.408019,8
113,43.660414,-79.415646,3
114,43.63985,-79.43703,8
115,43.645599,-79.4657123,2
116,43.646251,-79.46472,0
117,43.65389,-79.4675,0
118,43.656927,-79.378497,14
119,43.780468305361154,-79.43280415488479,0
120,43.646677,-79.442741,1
121,43.6571,-79.4056,0
122,43.69595,-79.328535,10
123,43.64283,-79.38409,9
124,43.70820992643782,-79.45627808717194,0
125,43.66986,-79.398443,5
126,43.671535,-79.379173,3
127,43.669813,-79.3335,18
128,43.69415,-79.45782580000001,2
129,43.6460145694434,-79.39960497726345,2
130,43.652327224103,-79.3882538196087,0
131,43.651922,-79.465693,1
132,43.648928,-79.378623,7
133,43.779353,-79.193023,1
134,43.77682938751077,-79.2305003612381,4
135,43.637922,-79.431734,0
136,43.695498400279796,-79.48809394482672,7
137,43.650152,-79.379856,18
138,43.72534466992445,-79.2976874085289,12
139,43.635492,-79.398253,14
140,43.79236326442992,-79.35836318028717,4
141,43.6417852,-79.4131148,1
142,43.66834,-79.38235,16
143,43.665523,-79.484892,1
144,43.689293,-79.295895,0
145,43.633537,-79.437461,16
146,43.697139,-79.31469,0
147,43.64039672322004,-79.4237424131447,7
148,43.6673,-79.374,11
149,43.6478206,-79.3704721,8
150,43.66587,-79.33443,3
151,43.6399714,-79.39940399999999,7
152,43.6799477790745,-79.38994813684005,3
153,43.657266,-79.374756,7
154,43.6580442,-79.3927404,2
155,43.6477785,-79.3847928,20
156,43.74445257991756,-79.56824985721664,1
157,43.63632,-79.47307,10
158,43.711751,-79.378615,17
159,43.650033,-79.396555,16
160,43.7254665,-79.40115449999999,8
161,43.66943,-79.38915,9
162,43.665538,-79.451263,0
163,43.6739269797493,-79.46068479021301,1
164,43.674444,-79.414722,0
165,43.674446,-79.398331,3
166,43.65995,-79.38964,12
167,43.727365488246306,-79.3814254607724,7
168,43.656038841714505,-79.38970387738495,0
169,43.64514249449372,-79.39510358283808,16
170,43.6629228,-79.4018451,20
171,43.789068698639504,-79.39315096004944,1
172,43.67115532642577,-79.46701597756929,0
173,43.70735572654095,-79.43723072209013,0
174,43.63811,-79.397877,4
175,43.6535052,-79.3667689,8
176,43.66073,-79.47149,0
177,43.77327261711258,-79.21971485277862,0
178,43.678685,-79.297974,2
179,43.6700692,-79.2971326,19
180,43.644395,-79.40065430000001,20
181,43.655431,-79.380653,17
182,43.665304278965365,-79.39938263802871,7
183,43.6560758,-79.393259,12
184,43.681114,-79.3373885,6
185,43.641952,-79.380723,17
186,43.73262849415089,-79.5381993243286,2
